,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
454,Which one is use of sending notification messages to drive user re-engagement and retention?,Easy,1,Android,c) FCM,a) FRM,b) FMC,c) FCM,d) JSON
455,What is Google Analytics for Firebase?,Medium,1,Android,a) Is a free app measurement solution that provides insight on app usage and user engagement.,a) Is a free app measurement solution that provides insight on app usage and user engagement.,"b) Is a trusted environment such as Cloud Functions for Firebase or an app server on which to build, target, and send messages.","c) Is  an iOS, Android, or web (JavaScript) client app that receives messages",d)none
456,Which of the following statement is true?,Easy,1,Android,"a) At the heart of Firebase is Google Analytics for Firebase, a free and unlimited analytics solution","a) At the heart of Firebase is Google Analytics for Firebase, a free and unlimited analytics solution.",b) The Loader API lets you load data from a content provider or other data source for display in an FragmentActivity or Fragment.,"c) Data is synced across all clients in realtime, and remains available when your app goes offline.",d) All of the above
457,How many distinct events that you can define using the Firebase SDK?,Easy,1,Android,c) 500 events,a) 300 events,b) 400 events,c) 500 events,d) 600 events
458,How does analytics work?,Hard,1,Android,c) helps you understand how people use your iOS or Android app.,,b) Encapsulating the values,c) helps you understand how people use your iOS or Android app.,d) None of the above
459,How many types of Google Analytics for firebase?,Medium,1,Android,a) 2,a) 2,b) 3,c) 4,d) 5
460,Analytics reports help-,Easy,1,Android,a) Understand user behavior and view live usage data with real time reporting. ,a) Understand user behavior and view live usage data with real time reporting,b) Understand clients problem,c) Identifying the problem easily,d) a and b is both
461,What is AdMob?,Hard,1,Android,c) Is a google ‘s platform which is  moving on side from another side,a) Is  Google’s advertising platform for promoting and monetizing mobile applications,b) Is a free app measurement solution provides insight apps usages.,c) Is a google ‘s platform which is  moving on side from another side,d) C is true
462,How AdMob can be displayed?,Expert,1,Android,"d) as banner ads, interstitial ads, video ads, or native ads","a) As audio, picture and design etc","b) Movie, maps, poems etc","c) Audio, maps, poems, movie, banner ads etc","d) as banner ads, interstitial ads, video ads, or native ads"
463,Admob uses –,Medium,1,Android,c) Google Mobile Ads SDK.,a) Mobile ads,b) SDK,c) Google Mobile Ads SDK.,d) Video ads
464,"Which helps app developers gain insights about their users, drive more in-app purchases, and maximize ad revenue.",Medium,1,Android,a) Google Mobile  Ads SDK,a) Google Mobile  Ads SDK,b) DDL,c) DML,d) Provider
465,Apps can import the Google Mobile Ads SDK with a Gradle dependency that points to_______________ repository,Expert,1,Android,b) Google's Maven,a) Google Mobile Ads SDK,b) Google's Maven,b) Google's Maven,d) None
466,Google Mobile Ads SDK support across-,Easy,1,Android,d) All of the above,a) Android,b) Ios,c) Game engine,d) All of the above
467,Which is a technical discussion regarding the Android Google Mobile Ads SDK in google play service,Easy,1,Android,a) Android,Android,b) Ios,c) Game engine,d) All of the above
468,What is Unity and Cocos2d-x?,Easy,1,Android,c) Game engine,a) Ios,b) Android,c) Game engine,d) Google mobile ads sdk
469,"Once installed on a device, each Android application lives in_________",Medium,1,Android,c) security sandbox,a) device memory,b) external memory,c) security sandbox,d) None of the above
470,What are the Direct subclasses of Activity?,Medium,1,Android,d) All of the above,a) Account Authenticator Activity,b) Activity Group,c) Fragment Activity,d) All of the above
471,When content Provider would be activated?,Medium,1,Android,c)Using ContentResolver,a)Using Intent,b)Using SQLite,c)Using Content Resolver,d)none of the above
472,What is the function of AdMob?,Easy,1,Android,a)Monetizing mobile app,a)Monetizing mobile app,b) Purchasing mobile app,c)Modifying mobile app,d)Creating mobile app
473,How Ads can be displayed using AdMob?,Expert,1,Android,d)All of the above,a)Banner Ads                                                    b)    Video Ads                     ,b) Video Ads,c)Native Ads,d)All of the above
474,What is the unique identifier of AdMob Account?,Hard,1,Android,a) Ad Unit Ids,a) Ad Unit Ids,b) Mob Unit Ids,c)Native Ids,d) None of the above
475,What does AdMob use?,Easy,1,Android,b)Google Mobile Ads SDK,a)Windows Mobile Ads SDK,b)Google Mobile Ads SDK,c)Both a &b,d) None of the above
476,How Google Mobile Ads SDK helps app developers?,Expert,1,Android,d)All of the above,a)Gaining insight about their users,b)Driving more in app purchase,c)Maximizing &Revenue,d)All of the above
477,What type of information Mobile Ads SDK collect?,Hard,1,Android,c)Both a &b,a)Device information,b)App purchase information,c)Both a &b,d)None of the above
478,How Google Mobile Ads SDK helps app developers?,Expert,1,Android,d)All of the above,a)Gaining insight about their users,b)Driving more in app purchase,c)Maximizing &Revenue,d)All of the above
479,Which uses the path part of the content uri developers?,Medium,1,Android,d)Content Provider,a)Content Resolver,b)Content URI,c)Data Dictionary,d)Content Provider
480,What does Content Uri identifies?,Easy,1,Android,a)Data,a)Data,b)Path,c)Both a &b,d) None of the above
481,Why projection is used?,Easy,1,Android,b)Retriving each row,a)Retriving each column,b)Retriving each row,c)Selecting rows,d)Selecting columns
482,What does selection command specifies?,Easy,1,Android,d)Selecting rows,a)Retriving rows ,b)Retriving columns,c)Selecting columns,d)Selecting rows
483,What type of dependency is required to import an android app?,Easy,1,Android,b)Gradle Dependency,a)App Building Dependency,b)Gradle Dependency,c)Both a &b,d) None of the above
484,What does google analytics provide for firebase?,Easy,1,Android,c)User engagement,a)Driving more app in purchase,b)Maximizing and Revenue,c)User engagement,d)Retriving information
485,What is google analytics?,Easy,1,Android,a)Free App Measurement Solution,a)Free App Measurement Solution,a)Paid App Measurement Solution,c)Both a &b,d) None of the above
486,How many features provide when you use the Firebase SDK?,Medium,1,Android,a)About 500,a)About 700,a)About 300,a)About 400,a)About 500
487,Which of the following features is integrated with Google Analytics?,Medium,1,Android,c) Firebase,a)Mongo DB,b)MS SQL Server,c)Firebase,d) None of the above
488,How google analytics help you to make your app better?,Expert,1,Android,d)All of the above,a)Interaction of the user,b)Informing decision about app marketing,c)Optimizing performance,d)All of the above
489,What does FCM stands for?,Easy,1,Android,c)Firebase Cloud Messaging ,a)Firebase Clone Messaging  ,b)Firebase Cloud Management,c)Firebase Cloud Messaging ,d) None of the above
490,What does Firebase Authentication provide?,Hard,1,Android,d) Both b & c,a)Frontend Services,b)Backend Services,c)Readymade UI libraries ,d) Both b & c
491,What does Firebase Authentication Supports?,Hard,1,Android,d) Both a &b,a)Password,b)Phone Number,c)    ID Card,d) Both a &b
492,Which IDE is used for Android development?,Easy,1,Evaluation-Android,d) a & b,a) Eclipse,b) Andoroid Studio,c)  Netbeans,d) a & b
493,What is the name of Android version 8?,Easy,1,Evaluation-Android,b) Oreo,a) Nougat,b) Oreo,c) Marshmallow,d) Kitkat
494,What is the API level of Oreo?,Easy ,1,Evaluation-Android,a) 26,a) 26,b) 22,c) 25,d) 21
495,Which level allows high level interaction with andoird system?,Medium,1,Evaluation-Android,c)  Application Framework,a) Runtime,b) Libraries,c)  Application Framework,d) None of the above
496,Which language is used for native Android development?,Easy ,1,Evaluation-Android,b) Java,a) C#,b) Java,"c) HTML, Javascript",d) PhoneGap
497,Which one is a OOP feature?,Easy ,1,Evaluation-Android,d) All of the above,a) Abstraction,b) Polymorphism,c) Inheritence,d) All of the above
498,What is Excapsulation?,Easy ,1,Evaluation-Android,a) Everything inside an unit,a) Everything inside an unit,b) Inherit all criteria from parent,c) Take any relevant form,d) None of the above
499,What is abstraction?,Easy ,1,Evaluation-Android,c) Hiding internal details,a) Everything inside an unit,b) Inherit all criteria from parent,c) Hiding internal details,d) All of the above
500,What is polymorphism?,Easy ,1,Evaluation-Android,b) Object behaving differently in different situaltions,a) Everything inside an unit,b) Object behaving differently in different situaltions,c) Hiding internal details,d) Inherit all criteria from parent
501,What is aggregation?,Medium,1,Evaluation-Android,c) Both,a) Association,b) HAS-A relation,c) Both,d) None of the above
502,Which is the type of data-types?,Easy ,1,Evaluation-Android,c) Both,a) Primitive,b) Non-primitive,c) Both,d) None of the above
503,Which is a transfer statement?,Medium,1,Evaluation-Android,a) continue,a) continue,b) do-while,c) if-else,d) switch
504,Which is a selection statement?,Medium,1,Evaluation-Android,d) b & c,a) continue,b) switch,c) if-else,d) b & c
505,What is the type of double?,Easy ,1,Evaluation-Android,c) Primitive,a) Non-primitive,b) Array,c) Primitive,d) None of the above
506,Which component belongs to Android architecture?,Medium,1,Evaluation-Android,d) All of the above,a) Intent,b) Services,c) Notifications,d) All of the above
507,Which notification style does Android support?,Easy ,1,Evaluation-Android,d) All of the above,a) Light,b) LED,c) Sound,d) All of the above
508,What is An android manifest file?,Easy ,1,Evaluation-Android,a) Information the system must have before it can run any of the app code,a) Information the system must have before it can run any of the app code,b) Information need to show to the user interface,c) Information that need to be given to OS,d) None of the above
509,What does ADT stands for?,Easy ,1,Evaluation-Android,c) Android development toolkit,a) Android description toolkit,b) Analysis of detailed telephone,c) Android development toolkit,d) Android developers plot
510,Which tool can be found inside ADT?,Hard,1,Evaluation-Android,d) All of the above,a) DDMS,b) AAPT,c) ADB,d) All of the above
511,What is toast notification?,Easy ,1,Evaluation-Android,b) Pop-up notification,a) Blinking LED,b) Pop-up notification,c) Alarm,d) None of the above
512,What is ADB?,Medium,1,Evaluation-Android,a) Link between emulator and IDE,a) Link between emulator and IDE,b) Link between emulator and debugger,c) IDE cleaner,d) Link between logcat and source code
513,What is shared preferences in android?,Medium,1,Evaluation-Android,d) b & c,a) Communication between developers,b) Simplest mechanism to store the data,c) Saving data in XML,d) b & c
514,What is the name of the Andoid core?,Easy ,1,Evaluation-Android,a) Linux kernel,a) Linux kernel,b) C language,c) Machintosh,d) None of the above
515,Where layouts are placed in android?,Medium,1,Evaluation-Android,b) Layout folder with XML files,a) Properties folder,b) Layout folder with XML files,c) Layout folder with JSON file,d) Online
516,Which one is an Android exception?,Easy ,1,Evaluation-Android,c) All of the above,a) InflateException,b) Surface.OutOfResourceException,c) All of the above,d) None of the above
517,Which one is the storage available in android?,Easy ,1,Evaluation-Android,d) All of the above,a) Shared preferences,Sqlite,c)  Shared preferences,d) All of the above
518,What is singleton class in android?,Medium,1,Evaluation-Android,"b) A class which can create only an object, that object can be share able to all other classes.",a) User Interface,"b) A class which can create only an object, that object can be share able to all other classes.","c) A piece of activity, if you want to do turn your application 360 degrees, you can do this by fragment",d) None of the above
519,What is Android ?,Easy ,1,Evaluation-Android,c) Both,a) OS,b) Framework,c) Both,d) None of the above
520,Which kernal is used in android?,Easy ,1,Evaluation-Android,b) Linux,a) Java,b) Linux,c) Kotilin,d) None of the above
521,What is Android activity?,Easy ,1,Evaluation-Android,b) GUI component,a) Networking component,b) GUI component,c) Web content,d) Radio layer component
522,What is the category of Android GUI element?,Medium,1,Evaluation-Android,d) All of the above,a) Activities,b) View ,c) ViewGroups,d) All of the above
523,Which files describe GUI layouts?,Easy ,1,Evaluation-Android,c) XML,a) Java,b) Javascript,c) XML,d) manifest
524,How many layers are there in Android architecture?,Easy ,1,Evaluation-Android,a) 4,a) 4,b) 3,c) 2,d) 6
525,Which android layer handles keyboard driver?,Hard,1,Evaluation-Android,c) Linux Kernal,a) Application,b) Libraries,c) Linux Kernal,d) Application framework
526,Who originally developed Android?,Medium,1,Evaluation-Android,d) All of the above,a) Rich Miner,b) Andy Rubin,c) Nick Sears ,d) All of the above
527,Who launched first Android Phone?,Medium,1,Evaluation-Android,b) HTC,a) Samsung,b) HTC,c) Motorola,d) Nokia
528,What is widgets?,Easy ,1,Evaluation-Android,a) GUI component that can be run outside an activity,a) GUI component that can be run outside an activity,b) Home screen controller,c) GUI component to process background data,d) None of the above
529,What is Android Services?,Easy,1,Evaluation-Android,a) Background processes,a) Background processes,b) Notification controller,c) Reminder,d) Networking component
530,When Google bought Android?,Easy,1,Evaluation-Android,a) 2005,a) 2005,b) 2006,c) 2007,d) 2008
531,Which one of these is used to make a Toast message?,Medium,1,Evaluation-Android,a) Toast.makeText,a) Toast.makeText,b) Messagebox.show,c) Notification.builder,d) None of the above
532,Which one of these is an Android feature?,Easy,1,Evaluation-Android,c) Both,a) Screen Capture,b) Notification,c) Both,d) None of the above
533,Where to put permissions for special purposes?,Easy,1,Evaluation-Android,b) Manifest,a) Build xml,b) Manifest,c)  GUI xml,d) Java files
534,Which class is required to get the location?,Medium,1,Evaluation-Android,b) LocationManager,a) GPSTracker,b) LocationManager,c) GlobalLocation,d) Coordinates
535,Which devices support Android?,Easy,1,Evaluation-Android,d) All of the above,a) Phone,b) Laptop,c) TV,d) All of the above
536,What is AVD?,Easy,1,Evaluation-Android,b) Android virtual device,a) Android virtual development,b) Android virtual device,c) Android verbal development,d) android variety device
537,What is drawable folder in android?,Easy,1,Evaluation-Android,b) GUI components,a) Startup components,b) GUI components,c) Networking components,d) GPS components
538,What is a ContentProvider?,Hard,1,Evaluation-Android,a) Access to structured data,a) Access to structured data,b) Media content,c) Working with file,d) Database
539,What type of gestures do Android support?,Easy,1,Evaluation-Android,d) All of the above,a) Pinch,b) Scroll,c) Long press,d) All of the above
540,Which listener to use for detecting Gesture?,Medium,1,Evaluation-Android,a) GestureDetector.SimpleOnGestureListener,a) GestureDetector.SimpleOnGestureListener,b) GestureDetector.GestureListener,c) GestureDetector.PinchGestureListener,d) All of the above
541,What is the use of broadcast receivers in Android?,Medium,1,Evaluation-Android,a) Allows you to register for system or application events,a) Allows you to register for system or application events,b) Gesture detection,c) GPS location,d) None of the above
542,When to use putExtra()?,Easy,1,Evaluation-Android,c) To add extra information into an intent,a) To add extra parameter,b) To call various methods at the same time,c) To add extra information into an intent,d) To add an event
543,What is the name of first Android version?,Easy,1,Evaluation-Android,b) Aestro,a) Cupcake,b) Aestro,c) Blender,d) Donut
544,Which one of these is a feature of android?,Easy,1,Evaluation-Android,d) All of the above,a) Platform independent,b) Open source,c) Dalvik Virtual Machine,d) All of the above
545,What are the life cycle methods of android activity?,Easy,1,Evaluation-Android,d) a & b,a) onCreate,b) onResume,c) None,d) a & b
546,Explain the use of 'bundle' in android?,Medium,1,Evaluation-Android,a) Pass the required data to various subfolders,a) Pass the required data to various subfolders,b) Build the core,c) Push notifications,d) None of the above
547,Can the bytecode be written in java be run on android?,Easy,1,Evaluation-Android,b) No,a) Yes,b) No,c) With extra libraries,d) With other languages
548,What is the implicit intent in android?,Easy,1,Evaluation-Android,a) Invoke the system components.,a) Invoke the system components.,b) Invoke the activity class.,c) Push notifications,d) Reminder
549,What is AAPT?,Medium,1,Evaluation-Android,a) Android asset packaging tool,a) Android asset packaging tool,b) Android activity package tool,c) Android activity provider transfer,d) None of the above
550,What is NDK?,Medium,1,Evaluation-Android,d) Neative Development Kit,a) National Developed Kernal,b) National Development Kit,c) Native Development Kernal,d) Neative Development Kit
551,Which class is required for multithreading?,Medium,1,Evaluation-Android,b) AsyncTask,a) TreadCreator,b) AsyncTask,c) TaskClass,d) AsyncCreator
552,What is the functionality of LinearLayout?,Hard,1,Evaluation-Android,a) Align views one by one (vertically/ horizontally),a) Align views one by one (vertically/ horizontally),b) Relation of views from its parents and other views,c) Uses relations to position and size widgets,"d) Load child one above another, like cards inside a frame"
553,What is the functionality of RelativeLayout ?,Hard,1,Evaluation-Android,b) Relation of views from its parents and other views,a) Align views one by one (vertically/ horizontally),b) Relation of views from its parents and other views,c) Uses relations to position and size widgets,"d) Load child one above another, like cards inside a frame"
554,What is the functionality of ConstraintLayout ?,Hard,1,Evaluation-Android,c) Uses relations to position and size widgets,a) Align views one by one (vertically/ horizontally),b) Relation of views from its parents and other views,c) Uses relations to position and size widgets,"d) Load child one above another, like cards inside a frame"
555,What is the functionality of FrameLayout?,Hard,1,Evaluation-Android,"d) Load child one above another, like cards inside a frame",a) Align views one by one (vertically/ horizontally),b) Relation of views from its parents and other views,c) Uses relations to position and size widgets,"d) Load child one above another, like cards inside a frame"
556,Which one is a depricated layout?,Hard,1,Evaluation-Android,d) Absolute,a) Linear,b) Relative,c) Frame,d) Absolute
557,How to go back to previous activity?,Hard,1,Evaluation-Android,b) finish(),a) goBack(),b) finish(),c) stop(),d) None of the above
558,What is a context in android ?,medium,1,Evaluation-Android,d) All of the above,a) It is an interface to store global information about an application,b) It is used to create new components.,"c) Android has two contexts, those are getContext() and getApplicationContext()",d) All of the above
559,What is a base adapter in android?,Expert,1,Evaluation-Android,"a) Base Adapter is a common class for any adapter, which can we use for both ListView and spinner","a) Base Adapter is a common class for any adapter, which can we use for both ListView and spinner",b) A kind of adapter,c) Data storage space,d) None of the above.
560,How to fix crash using log cat in android?,medium,1,Evaluation-Android,b)log cat contains the exception name along with the line number,a) Gmail,b)log cat contains the exception name along with the line number,c) Google Search,d) None of the above
561,How many levels of securities are there in android?,Expert,1,Evaluation-Android,c) Java level security,a) App level security and kernel level security,b) Android level security,c) Java level security,d) none of the above
562,What is the main difference between set and list in android?,Hard,1,Evaluation-Android,d) B & C,a) Both are same,b) Set can't contain duplicate values,c) List may contain duplicate values,d) B & C
563,What is SQLite?,Easy,1,Evaluation-Android,b) Open source relational database,a) Open source networking API,b) Open source relational database,c) Open source GUI for cross platform development,d) All of the above
564,What is ANR?,Hard,1,Evaluation-Android,c) Application not responding,a) Android news report,b) Application not recognized,c) Application not responding,d) None of the above
565,Which one is a android state?,Easy,1,Evaluation-Android,d) All of the above,a) Foreground,b) Visible,c) Background,d) All of the above
566,What role does Dalvik play in Android development?,Expert,1,Evaluation-Android,c) Virtual Machine,a) API,b) Services,c) Virtual Machine,d) Debugger
567,Which method is used for garbage collection?,Medium,1,Evaluation-Android,a) System.gc(),a) system.gc(),b) Activity#garbage(),c) garbage(),d) gc()
568,What is the functionality of MODE_WORLD_WRITEABLE in shared preferences?,Hard,1,Evaluation-Android,b) Allow other application to write the preferences in my application,a) Application can write in resources of another,b) Allow other application to write the preferences in my application,c) Aone of the above,d) Database manipulation permission
569,Which method to use for copying data into clipbord?,Expert,1,Evaluation-Android,a) ClipData ,a) ClipData ,b) GlobalMemory,c)  Clipbord,d) SharedPreferences
570,What is the name of the AI inside Android?,Easy,1,Evaluation-Android,d) Google assistant,a) Siri,b) Home,c) Google secretary,d) Google assistant
571,What is a Sticky Intent?,Expert,1,Evaluation-Android,c) broadcast from sendStickyBroadcast() method,a) Create widget,b) Create sticky note,c) broadcast from sendStickyBroadcast() method,d) push notifications
572,Which one is the offcial language for Android?,,1,Evaluation-Android,All of the above,a) Python,b) Kotlin,c) Objective C,d) All of the above
573,"Which one is the official integrated development environment (IDE) for Google's
Android operating system?",,1,Evaluation-Android,Android Studio,a) Xcode,b) Android Office,c) Android Studio,d) Codeblocks
574,Android studio is built in __________,,1,Evaluation-Android,JetBrains' IntelliJ IDEA,a) Brains' IntelliJ IDEA,b) Jet IDEA,c) Brains' IntelliJ IDEA,d) JetBrains' IntelliJ IDEA
575,Android studion is a replacement for _______,,1,Evaluation-Android,Eclipse,a) Eclipse,b) Xcode,c) Visual Studio,d) Codeblocks
576,Eclipse IDE provides ________________ controls.,,1,Evaluation-Android,hands-on,a) instant,b) software,c) Hands-on,d) None of the above
577,Which windows version is suitable for android studio?,,1,Evaluation-Android,All of the above,a) Windows 7,b) Windows 8,c) Windows 10,d) All of the above
578,Which windows version is suitable for android studio?,,1,Evaluation-Android,All of the above,a) Windows 7 32 bit,b) Windows 7 64 bit,c) Windows 10 64 bit,d) All of the above
579,What is the minumum ram needed for Android studio in Windows?,,1,Evaluation-Android,3GB,a) 2GB,b) 3GB,c) 4GB,d) 8GB
580,How much ram is recommended for Android studio in windows?,,1,Evaluation-Android,8GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
581,How much ram is needed for Android emulator in windows?,,1,Evaluation-Android,1GB,a) 8GB,b) 4GB,c) 2GB,d) 1GB
582,What is the minimum disk space needed for Android studio in  windows?,,1,Evaluation-Android,2GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
583,How much disk space is recommended for Android studio in windows?,,1,Evaluation-Android,4GB,a) 4GB,b) 8GB,c) 16GB,d) 32GB
584,Minimum screen resolution needed for Android studio in windows __________,,1,Evaluation-Android,1280*800,a) 1200*720,b) 720*1200,c) 1024*768,d) 1280*800
585,,,1,Evaluation-Android,,,,,
586,Which mac version is suitable for android studio?,,1,Evaluation-Android,All of the above,a) Mac OS X 10.10,b) Mac OS X 10.2,c) Mac OS X 10.2,d) All of the above
587,,,1,Evaluation-Android,,,,,
588,What is minumum ram needed for Android studio in mac?,,1,Evaluation-Android,3GB,a) 2GB,b) 3GB,c) 4GB,d) 8GB
589,How much ram is recommended for Android studio in mac?,,1,Evaluation-Android,8GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
590,How much ram is needed for Android emulator in mac?,,1,Evaluation-Android,1GB,a) 8GB,b) 4GB,c) 2GB,d) 1GB
591,What is the minimum disk space need for Android studion in  mac?,,1,Evaluation-Android,2GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
592,How much disk space is recommended for Android studio in mac?,,1,Evaluation-Android,4GB,a) 4GB,b) 8GB,c) 16GB,d) 32GB
593,Minimum screen resolution needed for Android studio in mac is __________,,1,Evaluation-Android,1280*800,a) 1200*720,b) 720*1200,c) 1024*768,d) 1280*800
594,,,1,Evaluation-Android,,,,,
595,What is the minumum ram needed for Android studio in linux?,,1,Evaluation-Android,3GB,a) 2GB,b) 3GB,c) 4GB,d) 8GB
596,How much ram is recommended for Android studio in linux?,,1,Evaluation-Android,8GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
597,How much ram is needed for Android emulator in linux?,,1,Evaluation-Android,1GB,a) 8GB,b) 4GB,c) 2GB,d) 1GB
598,What is the minimum disk space need for Android studion in  linux?,,1,Evaluation-Android,2GB,a) 2GB,b) 4GB,c) 8GB,d) 16GB
599,How much disk space is recommended for Android studio in linux?,,1,Evaluation-Android,4GB,a) 4GB,b) 8GB,c) 16GB,d) 32GB
600,Minimum screen resolution needed for Android studio in linux is  __________,,1,Evaluation-Android,1280*800,a) 1200*720,b) 720*1200,c) 1024*768,d) 1280*800
601,Which GNU C Library version is suitable for android studio?,,1,Evaluation-Android,2.19,a) 2.16,b) 2.17,c) 2.18,d) 2.19
602,Google Play App Store was previously called ___________,,1,Evaluation-Android,Android App Market,a) Android App Market,b) App Store,c) Play Store,d) Game Store
603,To sign an application which one is needed?,,1,Evaluation-Android,Private key,a) Digital Signature,b) Priavte key,c) Android Pen,d) Signature
604,Why is End User License Agreement (EULA) is needed?,,1,Evaluation-Android,All of the above,"a) to protect your
person",b) to protect organization,c) to protect intellectual property,d) All of the above
605,When you are finished preparing your application for release you will have a ___________ file,,1,Evaluation-Android,signed .apk file,a) signed .apk,b) Unsigned.apk,c) release.apk,d) final.apk
606,How much money is needed to open an account in google play console?,,1,Evaluation-Android,$25 ,a) $10,b) $15,c) $20,d) $25
607,Which one is a third party app store?,,1,Evaluation-Android,All of the above,a) Mobile9,b) 1Mobile Market,c) SlideME,d) All of the above
608,________________ is the general process that makes your Android applications available to users.,,1,Evaluation-Android,Publishing,a) Signing,b) Removing,c) Oragnizing,d) Publishing
609,Which one is the latest version of Android studio?,,1,Evaluation-Android,3.1.4,a) 3.1.2,b) 3.1.4,c) 3.1.5,d) 3.3
610,Package of compiled Java codes with some other resources is called _________,,1,Evaluation-Android,apk,a) ide,b) jdk,c) jde,d) apk
611,"In android studio, currently open file location can be shown by ________",,1,Evaluation-Android,navigation bar,a) navigation bar,b) tool bar,c) menu bar,d) editor tab
612,"In android studio, callback that is called when activity interaction with user is started is",,1,Evaluation-Android,onResume,a) onStart,b) onStop,c) onResume,d) onDestroy
613,One of operating systems that cannot be used for android application development is,,1,Evaluation-Android,contiki,a) windows,b) Mac OS X 10.2,c) linux,d) contiki
614,One of the recent android versions is __________,,1,Evaluation-Android,pie,a) marshmallow,b) nougat,c) pie,d) oreo
615,Required Java environment for development is called,,1,Evaluation-Android,jdk,a) jdk,b) dex,c) jvm,d) api
616,"By default in android studio during app development, the file that holds information about the app's fundamental features and components is",,1,Evaluation-Android,AndroidManifest.xml,a) res/values,b) Build.gradle,c) res/layout,d) AndroidManifest.xml
617,Underlying operating system for android is,,1,Evaluation-Android,Linux,a) Windows,b) Mac OS X 10.2,c) Linux,d) Contiki
618,Android component that works like database is,,1,Evaluation-Android,Content Providers,a) Services,b) Activities,c) Broadcast Receivers,d) Content Providers
619,"In android emulator mode, the left-hand side of smartphone area elements is called",,1,Evaluation-Android,palette,a) palette,b) widgets,c) design,d) button
620,Android component that shows part of an activity on screen is called,,1,Evaluation-Android,fragment,a) intent,b) fragment,c) view,d) manifest
621,"In android Studio, TODO tab is actually used for",,1,Evaluation-Android,comments,a) storage,b) comments,c) classes,d) function
622,Android component that manages app's configuration file is called,,1,Evaluation-Android,manifest,a) fragment,b) view,c) intent,d) manifest
623,Right way to write java comments is,,1,Evaluation-Android,//it is a comment,a) \it is a comment,b) //it is a comment,c) /it is a comment,d) it is a comment
624,Required android tools for development is called,,1,Evaluation-Android,sdk,a) jdk,b) sdk,c) apk,d) ide
625,"A part of android system, DVM is actually a",,1,Evaluation-Android,software,a) server,b) hardware,c) firmware,d) software
626,Android is actually using whole bunch of,,1,Evaluation-Android,java code,a) python code,b) c code,c) java code,d) c# code
627,Official IDE released for android development is called,,1,Evaluation-Android,android studio,a) Eclipse,b) Netbeans,c) Android studio,d) Java
628,Most common environment to run Java programs written for PC only is called,,1,Evaluation-Android,jre,a) jdk,b) jre,c) ide,d) sdk
629,"In android, compiled code is executed by part of android system called",,1,Evaluation-Android,dvm,a) dex,b) dvm,c) jdk,d) apk
630,"A part of android studio, that work as a simulator for android devices is called",,1,Evaluation-Android,emulator,a) emulator,b) driver,c) stub,d) firmware
631,Code that provides easy way to use all android features is called,,1,Evaluation-Android,api,,a) dex,b) apk,c) api
632,Android component that controls external elements of files is called,,1,Evaluation-Android,resource,a) intent,b) resource,c) view,d) manifest
633,One of the operating systems that cannot be used for android application development is,,1,Evaluation-Android,cooja,a) eclipse,b) Netbeans,c) Android Studio,d) cooja
634,Android's understandable form of code is called,,1,Evaluation-Android,dex,a) jdk,b) dex,c) dvm,d) api
635,Android is licensed under which open source licensing license?,,1,Evaluation-Android,apache/mit,a) apache/mit,b) oss,c) gnu's gpl,d) sourceforge
636,"As an Android programmer, what version of Android should you use as your minimum development target?",,1,Evaluation-Android,1.6 or 2.0,a) 1.6 or 2.0,b) 1.0 or 1.1,c) 2.1 or 2.3,d) 3.1 or 4.0
637,What was Google’s main business motivation for supporting Android?,,1,Evaluation-Android,To allow them to advertise more,a) To level the playing field for mobile devices,b) To directly compete with the iPhone,c) To corner the mobile device application market for licensing purposes,d) To allow them to advertise more
638,"Once installed on a device, each Android application lives in_______",,1,Evaluation-Android,,a) device memory,b) external memory,c) security sandbox,d) None of the above
639,What is Manifest.xml in android?,,1,Evaluation-Android,It has all the information about an application,a) It has information about layout in an application,b) It has the information about activities in an application,c) It has all the information about an application,d) None of the above
640,Which features are considered while creating an android application?,,1,Evaluation-Android,All of the above,a) Screen Size,b) Input configuration,c) Platform Version,d) All of the above
641,How many ports are allocated for a new emulator?,,1,Evaluation-Android,2,a) 2,b) 4,c) 10,d) 0
642,What does APK stand for?,,1,Evaluation-Android,application package,a) application program kit,b) android proprietary kit,c) android package,d) application package
643,"When you distribute your application commercially, you'll want to sign it with your own key.",,1,Evaluation-Android,TRUE,a) True,b) False,,
644,Android applications must be signed,,1,Evaluation-Android,before they are installed,a) after they are installed,b) before they are installed,c) never,d) within two weeks of installation
645,The android sdk ships with an _______________,,1,Evaluation-Android,emulator,a) apk,b) emulator,c) driver,d) None of the above
646,"To create an emulator, you need an AVD. What does AVD stand for?",,1,Evaluation-Android,android virtual device,a) android virtual display,b) active virtual device,c) android virtual device,d) Application virtual display
647,What does adb stand for?,,1,Evaluation-Android,android debug bridge,a) android device bridge,b) android development bridge,c) android debug bridge,d) None of the above
648,Which kernel is used in android?,,1,Evaluation-Android,linux,a) windows,b) mac,c) linux,d) iOS
649,Android libraries are written in,,1,Evaluation-Android,c & c++,a) java,b) c,c) c++,d) c & c++
